id,text,
199,Vomiting,
200,Projectile vomiting,
201,Hematemesis (vomiting blood),
202,Early satiety,
203,Fecal incontinence,
204,Tenesmus,
205,Greasy or oily stools (steatorrhea),
206,Clay-colored stools,
207,Black, tarry stools (melena)
208,Bright red blood per rectum (hematochezia),
209,Rectal pain,
210,Anal itching (pruritus ani),
211,Hemorrhoids,
212,Jaundice,
213,Dysuria (painful urination),
214,Urinary urgency,
215,Hesitancy,
216,Weak urine stream,
217,Dribbling,
218,Nocturia,
219,Polyuria,
220,Oliguria,
221,Anuria,
222,Hematuria (blood in urine),
223,Cloudy urine,
224,Foul-smelling urine,
225,Flank pain,
226,Groin pain,
227,Testicular pain,
228,Testicular swelling,
229,Penile discharge,
230,Vaginal discharge,
231,Vaginal itching,
232,Vaginal dryness,
233,Pain during intercourse (dyspareunia),
234,Pelvic pain,
235,Irregular menstrual periods,
236,Heavy menstrual bleeding (menorrhagia),
237,Absence of menstruation (amenorrhea),
238,Intermenstrual bleeding,
239,Postmenopausal bleeding,
240,Erectile dysfunction,
241,Premature ejaculation,
242,Decreased libido,
243,Kidney stones,
244,Muscle pain (myalgia),
245,Muscle stiffness,
246,Muscle spasms,
247,Arthralgia (joint pain),
248,Arthritis (joint inflammation),
249,Morning stiffness,
250,Limited range of motion,
251,Joint locking,
252,Joint clicking/popping,
253,Bone pain,
254,Bone deformity,
255,Fracture,
256,Sprain/Strain,
257,"Back pain (upper, mid,  lower)", 
258,Limb pain,
259,Growing pains,
260,Mood swings,
261,Irritability,
262,Agitation,
263,Apathy,
264,Anhedonia,
265,Hopelessness,
266,Worthlessness,
267,Guilt,
268,Panic attacks,
269,Phobias,
270,Obsessive thoughts,
271,Compulsive behaviors,
272,Paranoia,
273,Social withdrawal,
274,Aggression,
275,Impulsivity,
276,Hyperactivity,
277,Inattention,
278,Nightmares,
279,Flashbacks,
280,Emotional numbness,
281,Self-harm behaviors,
282,Poor feeding,
283,Spitting up / Reflux,
284,Vomiting (in infant),
285,Lethargy (in infant),
286,Irritability (inconsolable crying),
287,Bulging fontanelle,
288,Sunken fontanelle,
289,Diaper rash,
290,Cradle cap,
291,Umbilical hernia,
292,Failure to pass meconium,
293,Abnormal cry,
294,Respiratory distress in newborn,
295,Apneic spells in infant,
296,Teething pain,
297,Bedwetting (enuresis),
298,Tics,
299,Stuttering,
300,Learning difficulties,
301,Behavioral problems at school,
302,Picky eating,
303,Breath-holding spells,
304,Accidental injury,
305,Animal bite,
306,Insect sting,
307,"Burn (thermal, chemical,  electrical)", 
308,Frostbite,
309,Hypothermia,
310,Heatstroke,
311,Poisoning,
312,Drug overdose,
313,Adverse drug reaction,
314,Vaccine reaction,
315,Post-operative complication,
316,Pre-operative concern,
317,Dry skin,
318,Altered mental status,
319,Urinary incontinence,
320,Migraine attacks,
321,Swollen lymph nodes,
322,Blood in stool,
323,Unexplained bleeding,
324,Fever,
325,Swelling in feet/ankles,
326,Constipation,
327,Itching,
328,Fatigue,
329,Abdominal pain,
330,Diarrhea,
331,Allergy symptoms,
332,Burns,
333,Blurred vision,
334,Vomiting blood,
335,Anxiety,
336,Joint pain,
337,Allergic reaction,
338,Seizures,
339,Joint swelling,
340,Loss of appetite in child,
341,Excessive crying,
342,Dizziness,
343,Head injury,
344,Nasal congestion,
345,Night sweats,
346,Spinal deformity,
347,Colic,
348,Swelling,
349,Weight loss,
350,Infant jaundice,
351,Palpitation episodes,
352,Burning micturition,
353,Excessive sweating,
354,Skin rash,
355,Suicidal ideation,
356,Menstrual irregularity,
357,Postoperative pain,
358,Chest pain,
359,Delayed milestones,
360,Neonate feeding issue,
361,Pediatric fever,
362,Cough,
363,Shortness of breath,
364,Exposure to toxin,
365,Sore throat,
366,Urinary retention,
367,Weight gain,
368,Redness in eyes,
369,Memory problems,
370,Pregnancy-related complaint,
371,Thirst,
372,Hearing loss,
373,Headache,
374,Painful menstruation,
375,Frequent infections,
376,Change in bowel habit,
377,Developmental delay,
378,Back pain,
379,Weak cry in neonate,
380,Skin itching,
381,Bleeding,
382,Medication side effect,
383,Delayed wound healing,
384,Post-surgery fever,
385,Failure to thrive,
386,Odor from wound,
387,Depressed mood,
388,Skin lesions,
389,Fainting episodes,
390,Cough with sputum,
391,Frequent urination,
392,Nail changes,
393,Sexual dysfunction,
394,Frequent headaches,
395,Enlarged thyroid,
396,Painful urination,
397,Bone pain,
398,Eye pain,
399,Urinary frequency,
400,Red eye,
401,Prolonged cough,
402,Ear pain,
403,Hoarseness of voice,
404,Nausea,
405,Abnormal gait,
406,Infertility,
407,Foreign body,
408,Hair loss,
409,Muscle cramps,
410,Weakness,
411,Abnormal vaginal discharge,
412,Palpitations,
413,Sleep disturbance,
414,Bruising,
415,Sore muscles,
416,Stomach cramps,
417,Bloating,
418,Gas,
419,Heart palpitations,
420,Irregular periods,
421,Missed period,
422,Painful intercourse,
423,Vaginal bleeding,
424,Penile pain,
425,Scrotal pain,
426,Blood in semen,
427,Urinary dribbling,
428,Difficulty starting urination,
429,Anal bleeding,
430,Rectal itching,
431,Shoulder pain,
432,Elbow pain,
433,Wrist pain,
434,Hand pain,
435,Hip pain,
436,Knee pain,
437,Ankle pain,
438,Foot pain,
439,Muscle atrophy,
440,Muscle hypertrophy,
441,Limping,
442,Poor coordination,
443,Dyslexia,
444,Dyscalculia,
445,Attention deficit,
446,Depression,
447,Bipolar disorder,
448,Schizophrenia,
449,Post-traumatic stress disorder (PTSD),
450,Obsessive-compulsive disorder (OCD),
451,Panic disorder,
452,Generalized anxiety disorder (GAD),
453,Social anxiety disorder,
454,Eating disorder,
455,Anorexia nervosa,
456,Bulimia nervosa,
457,Binge eating disorder,
458,Substance abuse,
459,Alcoholism,
460,Drug addiction,
461,Gambling addiction,
462,Internet addiction,
463,Sex addiction,
464,Workaholism,
465,Perfectionism,
466,Procrastination,
467,Low self-esteem,
468,Body dysmorphic disorder,
469,Personality disorder,
470,Borderline personality disorder,
471,Narcissistic personality disorder,
472,Antisocial personality disorder,
473,Avoidant personality disorder,
474,Dependent personality disorder,
475,Obsessive-compulsive personality disorder,
476,Schizoid personality disorder,
477,Schizotypal personality disorder,
478,Paranoid personality disorder,
479,Histrionic personality disorder,
480,Autism spectrum disorder,
481,Asperger's syndrome,
482,Tourette's syndrome,
483,Cerebral palsy,
484,Down syndrome,
485,Cystic fibrosis,
486,Sickle cell anemia,
487,Hemophilia,
488,Muscular dystrophy,
489,Multiple sclerosis,
490,Parkinson's disease,
491,Alzheimer's disease,
492,Dementia,
493,Huntington's disease,
494,Amyotrophic lateral sclerosis (ALS),
495,Epilepsy,
496,Narcolepsy,
497,Cataplexy,
498,Sleep paralysis,
499,Night terrors,
500,Somnambulism (sleepwalking),
501,Somniloquy (sleeptalking),
502,Bruxism (teeth grinding),
503,Snoring,
504,Sleep apnea,
505,Restless legs syndrome,
506,Periodic limb movement disorder,
507,Circadian rhythm sleep disorder,
508,Delayed sleep phase syndrome,
509,Advanced sleep phase syndrome,
510,Non-24-hour sleep-wake disorder,
511,Shift work sleep disorder,
512,Jet lag,
513,Insomnia,
514,Hypersomnia,
515,Narcolepsy,
516,Cataplexy,
517,Sleep paralysis,
518,Night terrors,
519,Somnambulism (sleepwalking),
520,Somniloquy (sleeptalking),
521,Bruxism (teeth grinding),
522,Snoring,
523,Sleep apnea,
524,Restless legs syndrome,
525,Periodic limb movement disorder,
526,Circadian rhythm sleep disorder,
527,Delayed sleep phase syndrome,
528,Advanced sleep phase syndrome,
529,Non-24-hour sleep-wake disorder,
530,Shift work sleep disorder,
531,Jet lag,
532,Abdominal guarding,
533,Abdominal rigidity,
534,Rebound tenderness,
535,Absent bowel sounds,
536,Hyperactive bowel sounds,
537,Borborygmi,
538,Visible peristalsis,
539,Abdominal mass,
540,Hepatomegaly,
541,Splenomegaly,
542,Murphy's sign,
543,McBurney's point tenderness,
544,Rovsing's sign,
545,Psoas sign,
546,Obturator sign,
547,Cullen's sign,
548,Grey Turner's sign,
549,Caput medusae,
550,Venous hum,
551,Friction rub,
552,Shifting dullness,
553,Fluid wave,
554,Tympanic abdomen,
555,Dull abdomen,
556,Costovertebral angle tenderness,
557,Suprapubic tenderness,
558,Urethral discharge,
559,Cervical motion tenderness,
560,Adnexal tenderness,
561,Uterine enlargement,
562,Uterine mass,
563,Adnexal mass,
564,Prostate enlargement,
565,Prostate tenderness,
566,Prostate nodule,
567,Anal fissure,
568,Anal fistula,
569,Anal abscess,
570,Pilonidal cyst,
571,Rectal prolapse,
572,Genital warts,
573,Genital herpes,
574,Syphilis,
575,Gonorrhea,
576,Chlamydia,
577,Trichomoniasis,
578,Bacterial vaginosis,
579,Yeast infection,
580,Urinary tract infection (UTI),
581,Pyelonephritis,
582,Nephritis,
583,Nephrotic syndrome,
584,Glomerulonephritis,
585,Renal failure,
586,Acute kidney injury,
587,Chronic kidney disease,
588,End-stage renal disease,
589,Dialysis,
590,Kidney transplant,
591,Bladder cancer,
592,Prostate cancer,
593,Testicular cancer,
594,Penile cancer,
595,Cervical cancer,
596,Uterine cancer,
597,Ovarian cancer,
598,Vaginal cancer,
599,Vulvar cancer,
600,Breast cancer,
601,Breast lump,
602,Breast pain,
603,Nipple discharge,
604,Nipple retraction,
605,Skin changes on breast,
606,Lymphedema,
607,Mastitis,
608,Fibrocystic breast changes,
609,Gynecomastia,
610,Amenorrhea,
611,Dysmenorrhea,
612,Menorrhagia,
613,Metrorrhagia,
614,Menometrorrhagia,
615,Oligomenorrhea,
616,Polymenorrhea,
617,Premenstrual syndrome (PMS),
618,Premenstrual dysphoric disorder (PMDD),
619,Menopause,
620,Perimenopause,
621,Postmenopause,
622,Hot flashes,
623,Night sweats,
624,Vaginal atrophy,
625,Osteoporosis,
626,Osteopenia,
627,Pathologic fracture,
628,Stress fracture,
629,Compression fracture,
630,Kyphosis,
631,Lordosis,
632,Scoliosis,
633,Herniated disc,
634,Degenerative disc disease,
635,Spinal stenosis,
636,Spondylolisthesis,
637,Spondylosis,
638,Spondylitis,
639,Ankylosing spondylitis,
640,Rheumatoid arthritis,
641,Osteoarthritis,
642,Psoriatic arthritis,
643,Gout,
644,Pseudogout,
645,Septic arthritis,
646,Lyme disease,
647,Fibromyalgia,
648,Chronic fatigue syndrome,
649,Myofascial pain syndrome,
650,Tendonitis,
651,Bursitis,
652,Tenosynovitis,
653,Carpal tunnel syndrome,
654,Cubital tunnel syndrome,
655,Tarsal tunnel syndrome,
656,Plantar fasciitis,
657,Achilles tendonitis,
658,Rotator cuff tear,
659,Meniscus tear,
660,ACL tear,
661,PCL tear,
662,MCL tear,
663,LCL tear,
664,Tennis elbow,
665,Golfer's elbow,
666,Shin splints,
667,Compartment syndrome,
668,Rhabdomyolysis,
669,Myositis,
670,Dermatomyositis,
671,Polymyositis,
672,Inclusion body myositis,
673,Lupus,
674,Scleroderma,
675,Sjogren's syndrome,
676,Raynaud's phenomenon,
677,Vasculitis,
678,Giant cell arteritis,
679,Takayasu's arteritis,
680,Polyarteritis nodosa,
681,Kawasaki disease,
682,Granulomatosis with polyangiitis,
683,Eosinophilic granulomatosis with polyangiitis,
684,Microscopic polyangiitis,
685,Henoch-Schonlein purpura,
686,Behcet's disease,
687,Sarcoidosis,
688,Amyloidosis,
689,Hemochromatosis,
690,Wilson's disease,
691,Alpha-1 antitrypsin deficiency,
692,Cystic fibrosis,
693,Sickle cell anemia,
694,Thalassemia,
695,Hemophilia,
696,Von Willebrand disease,
697,Anemia,
698,Iron deficiency anemia,
699,Vitamin B12 deficiency anemia,
700,Folate deficiency anemia,
701,Pernicious anemia,
702,Aplastic anemia,
703,Hemolytic anemia,
704,Polycythemia vera,
705,Thrombocytopenia,
706,Thrombocytosis,
707,Leukopenia,
708,Leukocytosis,
709,Neutropenia,
710,Neutrophilia,
711,Lymphocytopenia,
712,Lymphocytosis,
713,Monocytopenia,
714,Monocytosis,
715,Eosinopenia,
716,Eosinophilia,
717,Basopenia,
718,Basophilia,
719,Leukemia,
720,Acute lymphoblastic leukemia (ALL),
721,Acute myeloid leukemia (AML),
722,Chronic lymphocytic leukemia (CLL),
723,Chronic myeloid leukemia (CML),
724,Lymphoma,
725,Hodgkin's lymphoma,
726,Non-Hodgkin's lymphoma,
727,Multiple myeloma,
728,Myelodysplastic syndrome,
729,Myelofibrosis,
730,Essential thrombocythemia,
731,Waldenstrom's macroglobulinemia,
732,Mastocytosis,
733,Langerhans cell histiocytosis,
734,Graft-versus-host disease,
735,Transplant rejection,
736,Immunodeficiency,
737,Primary immunodeficiency,
738,Severe combined immunodeficiency (SCID),
739,Common variable immunodeficiency (CVID),
740,IgA deficiency,
741,DiGeorge syndrome,
742,Wiskott-Aldrich syndrome,
743,Ataxia-telangiectasia,
744,Chronic granulomatous disease,
745,Leukocyte adhesion deficiency,
746,Hyper-IgE syndrome,
747,Hyper-IgM syndrome,
748,X-linked agammaglobulinemia,
749,Acquired immunodeficiency syndrome (AIDS),
750,Human immunodeficiency virus (HIV),
751,Sepsis,
752,Septic shock,
753,Toxic shock syndrome,
754,Systemic inflammatory response syndrome (SIRS),
755,Multi-organ dysfunction syndrome (MODS),
756,Fever of unknown origin (FUO),
757,Tuberculosis,
758,Leprosy,
759,Malaria,
760,Dengue fever,
761,Chikungunya,
762,Zika virus,
763,Yellow fever,
764,Ebola virus disease,
765,Marburg virus disease,
766,Lassa fever,
767,Hantavirus pulmonary syndrome,
768,Rabies,
769,Tetanus,
770,Botulism,
771,Anthrax,
772,Plague,
773,Tularemia,
774,Brucellosis,
775,Q fever,
776,Typhoid fever,
777,Cholera,
778,Dysentery,
779,Giardiasis,
780,Amebiasis,
781,Cryptosporidiosis,
782,Cyclosporiasis,
783,Toxoplasmosis,
784,Trichinosis,
785,Ascariasis,
786,Hookworm infection,
787,Pinworm infection,
788,Tapeworm infection,
789,Schistosomiasis,
790,Filariasis,
791,Onchocerciasis,
792,Leishmaniasis,
793,Chagas disease,
794,African trypanosomiasis,
795,Candidiasis,
796,Aspergillosis,
797,Cryptococcosis,
798,Histoplasmosis,
799,Blastomycosis,
800,Coccidioidomycosis,
801,Pneumocystis pneumonia,
802,Mucormycosis,
803,Sporotrichosis,
804,Dermatophytosis,
805,Tinea corporis,
806,Tinea pedis,
807,Tinea cruris,
808,Tinea capitis,
809,Tinea unguium,
810,Tinea versicolor,
811,Scabies,
812,Pediculosis,
813,Head lice,
814,Body lice,
815,Pubic lice,
816,Bed bugs,
817,Flea bites,
818,Mosquito bites,
819,Tick bites,
820,Spider bites,
821,Snake bites,
822,Jellyfish stings,
823,Bee stings,
824,Wasp stings,
825,Hornet stings,
826,Fire ant stings,
827,Allergic rhinitis,
828,Allergic conjunctivitis,
829,Atopic dermatitis,
830,Asthma,
831,Food allergy,
832,Drug allergy,
833,Insect sting allergy,
834,Latex allergy,
835,Anaphylaxis,
836,Urticaria,
837,Angioedema,
838,Serum sickness,
839,Contact dermatitis,
840,Hypersensitivity pneumonitis,
841,Eosinophilic esophagitis,
842,Autoimmune hepatitis,
843,Primary biliary cholangitis,
844,Primary sclerosing cholangitis,
845,Celiac disease,
846,Inflammatory bowel disease,
847,Crohn's disease,
848,Ulcerative colitis,
849,Irritable bowel syndrome,
850,Gastritis,
851,Peptic ulcer disease,
852,Gastroesophageal reflux disease (GERD),
853,Barrett's esophagus,
854,Esophageal stricture,
855,Esophageal varices,
856,Mallory-Weiss tear,
857,Boerhaave's syndrome,
858,Achalasia,
859,Gastroparesis,
860,Dumping syndrome,
861,Short bowel syndrome,
862,Bacterial overgrowth syndrome,
863,Whipple's disease,
864,Tropical sprue,
865,Lactose intolerance,
866,Fructose malabsorption,
867,Sucrase-isomaltase deficiency,
868,Diverticulosis,
869,Diverticulitis,
870,Appendicitis,
871,Peritonitis,
872,Abscess,
873,Pancreatitis,
874,Cholecystitis,
875,Cholangitis,
876,Cholelithiasis,
877,Choledocholithiasis,
878,Biliary colic,
879,Hepatitis,
880,Hepatitis A,
881,Hepatitis B,
882,Hepatitis C,
883,Hepatitis D,
884,Hepatitis E,
885,Alcoholic liver disease,
886,Non-alcoholic fatty liver disease,
887,Cirrhosis,
888,Portal hypertension,
889,Hepatic encephalopathy,
890,Hepatorenal syndrome,
891,Hepatopulmonary syndrome,
892,Liver failure,
893,Liver cancer,
894,Pancreatic cancer,
895,Gallbladder cancer,
896,Bile duct cancer,
897,Esophageal cancer,
898,Stomach cancer,
899,Colorectal cancer,
900,Anal cancer,
901,Small intestine cancer,
902,Gastrointestinal stromal tumor (GIST),
903,Carcinoid tumor,
904,Neuroendocrine tumor,
905,Insulinoma,
906,Glucagonoma,
907,Somatostatinoma,
908,VIPoma,
909,Gastrinoma,
910,Zollinger-Ellison syndrome,
911,Multiple endocrine neoplasia (MEN),
912,MEN type 1,
913,MEN type 2A,
914,MEN type 2B,
915,Pheochromocytoma,
916,Paraganglioma,
917,Adrenal adenoma,
918,Adrenal carcinoma,
919,Cushing's syndrome,
920,Conn's syndrome,
921,Addison's disease,
922,Congenital adrenal hyperplasia,
923,Hyperthyroidism,
924,Hypothyroidism,
925,Graves' disease,
926,Hashimoto's thyroiditis,
927,Thyroid storm,
928,Myxedema coma,
929,Thyroid nodule,
930,Goiter,
931,Thyroid cancer,
932,Hyperparathyroidism,
933,Hypoparathyroidism,
934,Pseudohypoparathyroidism,
935,Rickets,
936,Osteomalacia,
937,Paget's disease of bone,
938,Hypercalcemia,
939,Hypocalcemia,
940,Hyperkalemia,
941,Hypokalemia,
942,Hypernatremia,
943,Hyponatremia,
944,Hypermagnesemia,
945,Hypomagnesemia,
946,Hyperphosphatemia,
947,Hypophosphatemia,
948,Metabolic acidosis,
949,Metabolic alkalosis,
950,Respiratory acidosis,
951,Respiratory alkalosis,
952,Diabetes mellitus,
953,Type 1 diabetes,
954,Type 2 diabetes,
955,Gestational diabetes,
956,Diabetic ketoacidosis,
957,Hyperosmolar hyperglycemic state,
958,Hypoglycemia,
959,Diabetic neuropathy,
960,Diabetic nephropathy,
961,Diabetic retinopathy,
962,Diabetic foot ulcer,
963,Charcot foot,
964,Metabolic syndrome,
965,Obesity,
966,Malnutrition,
967,Vitamin A deficiency,
968,Vitamin B1 deficiency (beriberi),
969,Vitamin B2 deficiency (ariboflavinosis),
970,Vitamin B3 deficiency (pellagra),
971,Vitamin B6 deficiency,
972,Vitamin B12 deficiency,
973,Folate deficiency,
974,Vitamin C deficiency (scurvy),
975,Vitamin D deficiency,
976,Vitamin E deficiency,
977,Vitamin K deficiency,
978,Iron deficiency,
979,Iodine deficiency,
980,Zinc deficiency,
981,Copper deficiency,
982,Selenium deficiency,
983,Protein-energy malnutrition,
984,Kwashiorkor,
985,Marasmus,
986,Eating disorders,
987,Anorexia nervosa,
988,Bulimia nervosa,
989,Binge eating disorder,
990,Pica,
991,Rumination disorder,
992,Avoidant/restrictive food intake disorder,
993,Mental and behavioral disorders,
994,Anxiety disorders,
995,Panic disorder,
996,Generalized anxiety disorder,
997,Social anxiety disorder,
998,Specific phobia,
999,Agoraphobia,
1000,Obsessive-compulsive disorder (OCD),
1001,Post-traumatic stress disorder (PTSD),
1002,Acute stress disorder,
1003,Adjustment disorder,
1004,Depressive disorders,
1005,Major depressive disorder,
1006,Persistent depressive disorder (dysthymia),
1007,Premenstrual dysphoric disorder (PMDD),
1008,Bipolar and related disorders,
1009,Bipolar I disorder,
1010,Bipolar II disorder,
1011,Cyclothymic disorder,
1012,Schizophrenia spectrum and other psychotic disorders,
1013,Schizophrenia,
1014,Schizoaffective disorder,
1015,Delusional disorder,
1016,Brief psychotic disorder,
1017,Schizophreniform disorder,
1018,Catatonia,
1019,Personality disorders,
1020,Paranoid personality disorder,
1021,Schizoid personality disorder,
1022,Schizotypal personality disorder,
1023,Antisocial personality disorder,
1024,Borderline personality disorder,
1025,Histrionic personality disorder,
1026,Narcissistic personality disorder,
1027,Avoidant personality disorder,
1028,Dependent personality disorder,
1029,Obsessive-compulsive personality disorder,
1030,Neurodevelopmental disorders,
1031,Intellectual disability,
1032,Communication disorders,
1033,Autism spectrum disorder,
1034,Attention-deficit/hyperactivity disorder (ADHD),
1035,Specific learning disorder,
1036,Motor disorders,
1037,Tic disorders,
1038,Tourette's syndrome,
1039,Somatic symptom and related disorders,
1040,Somatic symptom disorder,
1041,Illness anxiety disorder,
1042,Conversion disorder,
1043,Factitious disorder,
1044,Dissociative disorders,
1045,Dissociative identity disorder,
1046,Dissociative amnesia,
1047,Depersonalization/derealization disorder,
1048,Feeding and eating disorders,
1049,Anorexia nervosa,
1050,Bulimia nervosa,
1051,Binge-eating disorder,
1052,Pica,
1053,Rumination disorder,
1054,Avoidant/restrictive food intake disorder,
1055,Elimination disorders,
1056,Enuresis,
1057,Encopresis,
1058,Sleep-wake disorders,
1059,Insomnia disorder,
1060,Hypersomnolence disorder,
1061,Narcolepsy,
1062,Breathing-related sleep disorders,
1063,Obstructive sleep apnea,
1064,Central sleep apnea,
1065,Sleep-related hypoventilation,
1066,Circadian rhythm sleep-wake disorders,
1067,Parasomnias,
1068,Nightmare disorder,
1069,REM sleep behavior disorder,
1070,Restless legs syndrome,
1071,Substance-related and addictive disorders,
1072,Alcohol use disorder,
1073,Cannabis use disorder,
1074,Phencyclidine use disorder,
1075,Other hallucinogen use disorder,
1076,Inhalant use disorder,
1077,Opioid use disorder,
1078,"Sedative , hypnotic,  or anxiolytic use disorder", 
1079,Stimulant use disorder,
1080,Tobacco use disorder,
1081,Other (or unknown) substance use disorder,
1082,Gambling disorder,
1083,Neurocognitive disorders,
1084,Delirium,
1085,Major neurocognitive disorder (dementia),
1086,Mild neurocognitive disorder,
1087,Alzheimer's disease,
1088,Frontotemporal dementia,
1089,Lewy body dementia,
1090,Vascular dementia,
1091,Traumatic brain injury,
1092,Substance/medication-induced neurocognitive disorder,
1093,HIV infection,
1094,Prion disease,
1095,Parkinson's disease,
1096,Huntington's disease,
1097,Paraphilic disorders,
1098,Voyeuristic disorder,
1099,Exhibitionistic disorder,
1100,Frotteuristic disorder,
1101,Sexual masochism disorder,
1102,Sexual sadism disorder,
1103,Pedophilic disorder,
1104,Fetishistic disorder,
1105,Transvestic disorder,
1106,Gender dysphoria,
1107,"Disruptive,  impulse-control  and conduct disorders",
1108,Oppositional defiant disorder,
1109,Intermittent explosive disorder,
1110,Conduct disorder,
1111,Antisocial personality disorder,
1112,Pyromania,
1113,Kleptomania,
1114,Other mental disorders,
1115,Other specified mental disorder due to another medical condition,
1116,Unspecified mental disorder due to another medical condition,
1117,Other specified mental disorder,
1118,Unspecified mental disorder,
